City,Company,Company_id,Phone,URL,Social new
CHELYABINSK,Статус безопасности,70000001022001896,tel:+73512200101,Неизветно,"http://link.2gis.ru/1.2/84C58231/online/20211101/project15/70000001022001896/null/Blgb64935C3HJ81301IGGGGGmfkAee95G6G97C3766211BA7qEpt7A6267G44G6GG40J3JG7q8lxuv193895102254H1H3JH3c4?http://statusohrana.ru
http://link.2gis.ru/1.2/51B9AA52/online/20211101/project15/70000001027274588/null/lgb64q8H19389559484899C9IHIHmfkAeeBG9935C36GG4J810JIJ26It7A95G6C37664G30110221332222lxuvqEp6267G479H1H4JH7000011H3A4?https://www.zarplata.ru/companies/16957333/kompaniya-status-bezopasnosti?utm_source=2gis&utm_medium=cpc&utm_campaign=vacancies
https://vk.com/club115553834
https://instagram.com/statusohrana"
CHELYABINSK,Арсенал,2111590606382024,tel:+73512250550,Неизветно,"http://link.2gis.ru/1.2/2E4AE307/online/20211101/project15/2111590606382024/null/Fyzjmv935C3HJ32416IGGGG2qfEhyd95G6G9798566A3055HqEpt7A6267G44G6GG4G4IJ4Jg3whuv193895A072951H1JJ17e?http://chelarsenal.ru
http://link.2gis.ru/1.2/EC9A4CED/online/20211101/project15/70000001027274588/null/yzjmvg3H193895594848937JIHIHqfEhydFG9935C36GG4J810JIJ26It7A95G6985664G30110226373A41whuvqEp6267G479H1H4JH21115A13g8?https://www.zarplata.ru/companies/16118323/chop-arsenal?utm_source=2gis&utm_medium=cpc&utm_campaign=vacancies
http://redirect.2gis.com/account/?language=ru&id=15&firmId=2111599196295620&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=15&calculate_for=2111590606382024&utm_source=online&utm_medium=products&utm_campaign=card"
CHELYABINSK,ОМЕГА,70000001007323294,tel:+73512453915,Неизветно,"http://link.2gis.ru/1.2/67725EEC/online/20211101/project15/70000001007323294/null/Bmn2nl935C3HJ81301IGGGGGhbhxsp95G6G97C37665335A5qEpt7A6267G44G6GG40J3JG72iefuv193895102239H1H3JH3g9?http://omega-74.ru/?utm_source=2gis&utm_medium=ohrana&utm_campaign=kontext
http://redirect.2gis.com/account/?language=ru&id=15&firmId=70000001007323295&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=15&calculate_for=70000001007323294&utm_source=online&utm_medium=products&utm_campaign=card
/chelyabinsk/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
CHELYABINSK,Кэндо,2111590606320587,tel:+73512101212,Неизветно,"http://link.2gis.ru/1.2/09A7CEBB/online/20211101/project15/2111590606320587/null/m54v79935C3HJ32416IGGGG26fdod195G6G9798566415B8HqEpt7A6267G44G6GG4G4IJ4Jfryiuv193895A072951H1JJ197?http://kendo174.ru
http://link.2gis.ru/1.2/E97BB004/online/20211101/project15/70000001027274588/null/54v79frH19389559484899AJIHIH6fdod1mG9935C36GG4J810JIJ26It7A95G6985664G30110226373426yiuvqEp6267G479H1H4JH21115A13df?https://chelyabinsk.zarplata.ru/vacancy/card/203482098/ohrannik-na-statsionarniy-post-voditel-ohrannik-gbr?utm_source=2gis&utm_medium=cpc&utm_campaign=vacancies
https://vk.com/kendo174
https://instagram.com/kendo174"
CHELYABINSK,Гридъ,70000001024594990,tel:+79000272727,Неизветно,"/chelyabinsk/branches/70000001006421179
http://link.2gis.ru/1.2/DAFC29E3/online/20211101/project15/70000001024594990/null/Ao789y935C3HJ81301IGGGGG6d7g2r95G6G97985667A4CA1qEpt7A6267G44G6GG40J3JG7w4Douv193895102256H1H3JH3g4?http://grid74.ru
https://wa.me/79000272727?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
viber://chat/?number=+79000272727"
CHELYABINSK,Гридъ,70000001006421178,tel:+79000272727,Неизветно,"/chelyabinsk/branches/70000001006421179
http://link.2gis.ru/1.2/979AD5D9/online/20211101/project15/70000001006421178/null/D7cdlk935C3HJ81301IGGGGGh22z4795G6G9798566631489qEpt7A6267G44G6GG40J3JG7fg6muv193895102238H1H3JH321?http://grid74.ru
https://wa.me/79000272727?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
viber://chat/?number=+79000272727"
CHELYABINSK,Аргумент,70000001007183559,tel:+73512250355,Неизветно,"http://link.2gis.ru/1.2/ACB9AA0D/online/20211101/project15/70000001007183559/null/umueje935C3HJ81301IGGGGG42ymlh95G6G979856639386AqEpt7A6267G44G6GG40J3JG75w6suv193895102239H1H3JH3g2?http://argument174.ru
http://redirect.2gis.com/account/?language=ru&id=15&firmId=70000001007183560&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=15&calculate_for=70000001007183559&utm_source=online&utm_medium=products&utm_campaign=card
/chelyabinsk/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
CHELYABINSK,ГРОЗА,2111590608946246,tel:+73517000575,Неизветно,"http://link.2gis.ru/1.2/E748E518/online/20211101/project15/2111590608946246/null/uFsnsf935C3HJ32416IGGGG2qxsBm295G6G979856667277HqEpt7A6267G44G6GG4G4IJ4J4u2xuv193895A072BB1H1JJ17b?http://groza74.ru
http://link.2gis.ru/1.2/135B8F47/online/20211101/project15/70000001027274588/null/Fsnsf4uH193895594848959JIHIHqxsBm2uG9935C36GG4J810JIJ26It7A95G6985664G301102263996832xuvqEp6267G479H1H4JH21115A13bA?https://www.zarplata.ru/companies/18812453/ooo-chop-groza?utm_source=2gis&utm_medium=cpc&utm_campaign=vacancies
https://instagram.com/groza_ohrana
https://vk.com/chopgroza"
CHELYABINSK,Городская охрана,2111590608815503,tel:+73517008865,Неизветно,"http://link.2gis.ru/1.2/7502BADC/online/20211101/project15/2111590608815503/null/xlde5b935C3HJ32416IGGGG296on7d95G6G97C376636534HqEpt7A6267G44G6GG4G4IJ4Jyochuv193895A072BA1H1JJ11c?http://www.gor-ohrana74.ru
http://redirect.2gis.com/account/?language=ru&id=15&firmId=2111599196717285&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=15&calculate_for=2111590608815503&utm_source=online&utm_medium=products&utm_campaign=card
/chelyabinsk/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
CHELYABINSK,Медведь,2111590608263081,tel:+73517002222,Неизветно,"http://link.2gis.ru/1.2/E4C2AB12/online/20211101/project15/2111590608263081/null/vkmcgp935C3HJ32416IGGGG233u5wj95G6G9798566840B2HqEpt7A6267G44G6GG4G4IJ4Js1nmuv193895A072B41H1JJ1ge?http://www.ohrana-medved.ru
http://link.2gis.ru/1.2/12F73B66/online/20211101/project15/2111590608263081/null/vkmcgp935C3HJ32416IGGGG233u5wj95G6G9798566840B2HqEpt7A6267G44G6GG4G4IJ4Js1nmuv193895A072B41H1JJ1ge?http://xn----7sbajjbec3dhjy8dyf.xn--p1ai
http://link.2gis.ru/1.2/AC278AA5/online/20211101/project15/70000001027274588/null/kmcgps1H193895594848994JIHIH33u5wjvG9935C36GG4J810JIJ26It7A95G6985664G30110226392851nmuvqEp6267G479H1H4JH21115A131d?https://www.zarplata.ru/companies/16288953/ooo-chastnaya-ohrannaya-organizatsiya-medved?utm_source=2gis&utm_medium=cpc&utm_campaign=vacancies
http://redirect.2gis.com/account/?language=ru&id=15&firmId=2111599196444790&utm_source=online&utm_medium=products&utm_campaign=card"
