City,Company,Phone,URLS
YOSHKAR-OLA,Фарб-М,tel:+78362405405,"http://link.2gis.ru/1.2/0B417F5F/online/20211101/project70/9852152465854357/null/Blgb64935C3HJA9822IGGGG2mfkAee95G6G97A842375388HqEpt7A2838G45G6GG4G4IJ4Jq8lxuv19387A62588A1H1JJ17b?http://farbm.ru
https://vk.com/farbm
https://instagram.com/farb_m
https://wa.me/79047242864?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A"
YOSHKAR-OLA,Гранит-Безопасность,tel:+78362495757,"http://link.2gis.ru/1.2/6D835AB8/online/20211101/project70/9852152465894303/null/y8urro935C3HJA9822IGGGG2A2pdnD95G6G97A8423B5334HqEpt7A2838G45G6GG4G4IJ4Jubcpuv19387A62588A1H1JJ161?http://www.gk-granit.ru
https://vk.com/granitbezopasnost
https://instagram.com/granitbezopasnostofficial
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055786189&utm_source=online&utm_medium=products&utm_campaign=card"
YOSHKAR-OLA,Барс,tel:+78362429870,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055785831&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465851238&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/search/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/319"
YOSHKAR-OLA,ТРИАДА,tel:+78362456673,"http://link.2gis.ru/1.2/777E534C/online/20211101/project70/9852152465865812/null/zx2cl4935C3HJA9822IGGGG2A933cg95G6G97A842386843HqEpt7A2839G46G6GG4G4IJ4Jbxkjuv19387A62588A1H1JJ195?http://triada12.ru
https://vk.com/op_triada
https://instagram.com/op_triada_
viber://chat/?number=+79027447719"
YOSHKAR-OLA,Бастион,tel:+78362750203,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055818053&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465898856&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/search/%D0%9C%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE-%D0%BF%D0%BE%D0%B6%D0%B0%D1%80%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC/rubricId/1102"
YOSHKAR-OLA,Вымпел,tel:+78362215983,"http://link.2gis.ru/1.2/4B138FC7/online/20211101/project70/9852152465858425/null/pdAu3h935C3HJA9822IGGGG2li3jy595G6G97A842379456HqEpt7A283BG48G6GG4G4IJ4JAzhxuv19387A62588A1H1JJ1bA?http://ohrana-vimpel.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055792859&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465858425&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,Охрана,tel:+78362416275,"http://link.2gis.ru/1.2/EA873627/online/20211101/project70/9852152465854377/null/y8urro935C3HJA9822IGGGG2A2pdnD95G6G97A8423753A8HqEpt7A283CG49G6GG4G4IJ4Jubcpuv19387A62588A1H1JJ15A?http://fgup-ohrana.ru
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055788970&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465854377&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318"
YOSHKAR-OLA,Грифон,tel:+78362636315,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055786180&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=9852152465888316&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%9C%D0%BE%D0%BD%D1%82%D0%B0%D0%B6%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE-%D0%BF%D0%BE%D0%B6%D0%B0%D1%80%D0%BD%D1%8B%D1%85%20%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC/rubricId/1102
/yoshkarola/search/%D0%A1%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B%20%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%20%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/319"
YOSHKAR-OLA,Цербер,tel:+78362384030,"http://redirect.2gis.com/account/?language=ru&id=70&firmId=70000001028821607&utm_source=online&utm_medium=products&utm_campaign=card
http://redirect.2gis.com/adv/?language=ru&page=online_owner&id=70&calculate_for=70000001028821608&utm_source=online&utm_medium=products&utm_campaign=card
/yoshkarola/search/%D0%A3%D1%81%D0%BB%D1%83%D0%B3%D0%B8%20%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D1%8B/rubricId/318
/yoshkarola/station/9852410163888219"
YOSHKAR-OLA,Холдинг Безопасность Марий Эл,tel:+78362334488,"http://link.2gis.ru/1.2/87426B17/online/20211101/project70/9852152465872914/null/pdAu3h935C3HJA9822IGGGG2li3jy595G6G97A842493945HqEpt7A2843G40G6GG4G4IJ4JAzhxuv19387A62588A1H1JJ15c?http://hb12.ru
https://wa.me/79278834488?text=%D0%97%D0%B4%D1%80%D0%B0%D0%B2%D1%81%D1%82%D0%B2%D1%83%D0%B9%D1%82%D0%B5!%0A%0A%D0%9F%D0%B8%D1%88%D1%83%20%D0%B8%D0%B7%20%D0%BF%D1%80%D0%B8%D0%BB%D0%BE%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F%202%D0%93%D0%98%D0%A1.%0A%0A
viber://chat/?number=+79278834488
http://redirect.2gis.com/account/?language=ru&id=70&firmId=9852161055803438&utm_source=online&utm_medium=products&utm_campaign=card"
