City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
CHELB,Урал-Держава,"Адрес: ул. Челябинского Рабочего, д.5, офис 3, Челябинск, Челябинская обл., 454108 ",Сайт: ural-ohrana.ru ,Телефон: 8 (351) 776-67-39 ,0,https://www.google.com/maps/place/%D0%A3%D1%80%D0%B0%D0%BB-%D0%94%D0%B5%D1%80%D0%B6%D0%B0%D0%B2%D0%B0/data=!4m5!3m4!1s0x43c5f2a5b9f54cc5:0xc51f4ef2b2802d9!8m2!3d55.1463816!4d61.4416791?authuser=0&hl=ru&rclk=1,False,False
CHELB,"Арсенал, частное охранное предприятие","Адрес: Комсомольский пр-т., 80 в, Челябинск, Челябинская обл., 454014 ",Сайт: chelarsenal.ru ,Телефон: 8 (351) 225-05-50 ,48,"https://www.google.com/maps/place/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x43c5936a5a87c15b:0x990bbc76daac329f!8m2!3d55.1966184!4d61.3105766?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.1966184,61.3083879,17z/data=!4m7!3m6!1s0x43c5936a5a87c15b:0x990bbc76daac329f!8m2!3d55.1966186!4d61.3105624!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883471455947833691!2y11028115331207672479!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sENt5YdWmF5OfgQbUxrD4AQ!7e81
CHELB,Витязь,"Адрес: ул. Молодогвардейцев, 37А, Челябинск, Челябинская обл., 454021 ",Не указан,Телефон: 8 (351) 741-33-44 ,84,https://www.google.com/maps/place/%D0%92%D0%B8%D1%82%D1%8F%D0%B7%D1%8C/data=!4m5!3m4!1s0x43c59323465e47c7:0xa87bd29fc31e2227!8m2!3d55.1864035!4d61.3351358?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%92%D0%B8%D1%82%D1%8F%D0%B7%D1%8C/@55.1864035,61.3329471,17z/data=!4m7!3m6!1s0x43c59323465e47c7:0xa87bd29fc31e2227!8m2!3d55.1863989!4d61.3351362!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883471150666893255!2y12140528804122468903!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sL9t5YdWgINeBhbIP8oa0kAE!7e81
CHELB,"Арсенал, частное охранное предприятие","Адрес: Комсомольский пр-т., 80 в, Челябинск, Челябинская обл., 454014 ",Сайт: chelarsenal.ru ,Телефон: 8 (351) 225-05-50 ,48,"https://www.google.com/maps/place/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x43c5936a5a87c15b:0x990bbc76daac329f!8m2!3d55.1966184!4d61.3105766?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%90%D1%80%D1%81%D0%B5%D0%BD%D0%B0%D0%BB,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.1966184,61.3083879,17z/data=!4m7!3m6!1s0x43c5936a5a87c15b:0x990bbc76daac329f!8m2!3d55.1966186!4d61.3105624!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883471455947833691!2y11028115331207672479!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sTtt5Yd7qJdXhgAa9mbm4Cg!7e81
CHELB,Дельта Челябинск,"Адрес: ул. Молодогвардейцев, 55, А, 3 этаж, Челябинск, Челябинская обл., 454081 ",Сайт: chb.delta.ru ,Телефон: 8 (351) 222-11-11 ,91,https://www.google.com/maps/place/%D0%94%D0%B5%D0%BB%D1%8C%D1%82%D0%B0+%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA/data=!4m5!3m4!1s0x43dee8c1444f67b7:0x8447707078db3a13!8m2!3d55.1805953!4d61.3335479?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%94%D0%B5%D0%BB%D1%8C%D1%82%D0%B0+%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA/@55.1805953,61.3313592,17z/data=!3m1!5s0x43c59321fe49880f:0xa8831a636c6c19a2!4m7!3m6!1s0x43dee8c1444f67b7:0x8447707078db3a13!8m2!3d55.1805953!4d61.3335479!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4890602162143324087!2y9531710764719225363!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1saNt5YbqgHILGgQb_qZ2oBQ!7e81
CHELB,"Варяг, частное охранное предприятие","Адрес: ул. Свободы, 100, Челябинск, Челябинская обл., 454091 ",Сайт: variag.ru ,Телефон: 8 (800) 555-75-55 ,25,"https://www.google.com/maps/place/%D0%92%D0%B0%D1%80%D1%8F%D0%B3,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x43c5ed554573789f:0xf0bfb48e0c92b994!8m2!3d55.1485975!4d61.415702?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%92%D0%B0%D1%80%D1%8F%D0%B3,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.1485975,61.4135133,17z/data=!4m7!3m6!1s0x43c5ed554573789f:0xf0bfb48e0c92b994!8m2!3d55.1486041!4d61.4157629!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883570321446369439!2y17347782811843738004!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sgdt5YZneNZKA8gLPnpTYAg!7e81
CHELB,Статус безопасности,"Адрес: ул. 40-летия Победы, 4, Челябинск, Челябинская обл., 454100 ",Сайт: statusohrana.ru ,Телефон: 8 (351) 220-01-01 ,19,https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D1%81+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8/data=!4m5!3m4!1s0x43c592a4fa708fa3:0xd6edb110c24a16ee!8m2!3d55.1916427!4d61.2842826?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A1%D1%82%D0%B0%D1%82%D1%83%D1%81+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8/@55.1916427,61.2820939,17z/data=!4m7!3m6!1s0x43c592a4fa708fa3:0xd6edb110c24a16ee!8m2!3d55.1916246!4d61.2842633!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883470608227143587!2y15487229379134232302!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1snNt5YargMciC8gLQzofQBQ!7e81
CHELB,"""Варяг"", Холдинг предприятий безопасности","Адрес: ул. Производственная, 8а, Челябинск, Челябинская обл., 454008 ",Сайт: variag.ru ,Телефон: 8 (800) 555-75-55 ,42,"https://www.google.com/maps/place/%22%D0%92%D0%B0%D1%80%D1%8F%D0%B3%22,+%D0%A5%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8/data=!4m5!3m4!1s0x43c5ecb5e8ed4411:0x2d1b44eba6aa6e62!8m2!3d55.203004!4d61.3460351?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%22%D0%92%D0%B0%D1%80%D1%8F%D0%B3%22,+%D0%A5%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8/@55.203004,61.3438464,17z/data=!4m7!3m6!1s0x43c5ecb5e8ed4411:0x2d1b44eba6aa6e62!8m2!3d55.203004!4d61.3460351!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883569636994270225!2y3250267334982135394!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1st9t5Ya7ZBPKGwbkP96WF2Ao!7e81
CHELB,"Тайгер, Чоп","Адрес: 2-я Павелецкая ул., 18, Челябинск, Челябинская обл., 454047 ",Сайт: taiger74.ru ,Телефон: 8 (351) 236-02-52 ,5,"https://www.google.com/maps/place/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B5%D1%80,+%D0%A7%D0%BE%D0%BF/data=!4m5!3m4!1s0x43c5ebeaf3c04fa9:0x19993973a1eb4744!8m2!3d55.2640483!4d61.4134114?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A2%D0%B0%D0%B9%D0%B3%D0%B5%D1%80,+%D0%A7%D0%BE%D0%BF/@55.2640483,61.4112227,17z/data=!4m7!3m6!1s0x43c5ebeaf3c04fa9:0x19993973a1eb4744!8m2!3d55.2640483!4d61.4134114!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883568765297512361!2y1844568691185502020!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s0dt5YZ-9I8bygQajgp2oDw!7e81
CHELB,"Частное охранное предприятие ""Ягуар""","Адрес: ул. 250-Летия Челябинска, д.34, Челябинск, Челябинская обл., 454003 ",Сайт: jaguar74.ru ,Телефон: 8 (351) 200-33-53 ,7,https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%AF%D0%B3%D1%83%D0%B0%D1%80%22/data=!4m5!3m4!1s0x43c59356a9f8ce75:0x1f7d7b490a846334!8m2!3d55.1753967!4d61.290656?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%AF%D0%B3%D1%83%D0%B0%D1%80%22/@55.1753967,61.2884673,17z/data=!4m7!3m6!1s0x43c59356a9f8ce75:0x1f7d7b490a846334!8m2!3d55.1753967!4d61.290656!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4883471371381296757!2y2269105340903875380!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s_tt5YeLnNrGBhbIPyNqCqAw!7e81
