City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
EKT,Частное Охранное Предприятие Медведь.,"Адрес: ул. Чапаева, 8Б, Екатеринбург, Свердловская обл., 620142 ",Сайт: medved-e.ru ,Телефон: 8 (343) 257-00-00 ,38,https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%9C%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D1%8C./data=!4m5!3m4!1s0x43c16eeb17a67e29:0xda35a15f6ef2dc30!8m2!3d56.8222618!4d60.6113014?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%9C%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D1%8C./@56.8222618,60.6091127,17z/data=!4m7!3m6!1s0x43c16eeb17a67e29:0xda35a15f6ef2dc30!8m2!3d56.8222618!4d60.6113014!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882305427039485481!2y15723651105289329712!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sRjh6YfKoJMiprgTd5be4DQ!7e81
EKT,СОВА,"Адрес: ул. Белинского, 112, Екатеринбург, Свердловская обл., 620142 ",Сайт: sowa.ru ,Телефон: 8 (343) 257-30-79 ,20,https://www.google.com/maps/place/%D0%A1%D0%9E%D0%92%D0%90/data=!4m5!3m4!1s0x43c16ec0819a0823:0x8760596dd92c3068!8m2!3d56.8170285!4d60.6199767?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A1%D0%9E%D0%92%D0%90/@56.8170285,60.617788,17z/data=!4m7!3m6!1s0x43c16ec0819a0823:0x8760596dd92c3068!8m2!3d56.8170285!4d60.6199767!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882305244133460003!2y9754895121214353512!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sbjh6Yf6xAoOXrwS7npnIBA!7e81
EKT,Сатурн ЧОП,"Адрес: ул. Вайнера, 40, Екатеринбург, Свердловская обл., 620014 ",Сайт: saturn-ural.ru ,Телефон: 8 (343) 376-51-09 ,12,https://www.google.com/maps/place/%D0%A1%D0%B0%D1%82%D1%83%D1%80%D0%BD+%D0%A7%D0%9E%D0%9F/data=!4m5!3m4!1s0x43c16ef3bd9c5e57:0xe29995f8f81786ab!8m2!3d56.8314321!4d60.5955144?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A1%D0%B0%D1%82%D1%83%D1%80%D0%BD+%D0%A7%D0%9E%D0%9F/@56.8314321,60.5933257,17z/data=!4m7!3m6!1s0x43c16ef3bd9c5e57:0xe29995f8f81786ab!8m2!3d56.8314321!4d60.5955144!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882305464183578199!2y16328246820555163307!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1slDh6YcmjLqurrgS1gb3QBw!7e81
EKT,"Уральская Ассоциация Охраны, Охранное Предприятие","Адрес: Комсомольская ул., 37, Екатеринбург, Свердловская обл., 620049 ",Сайт: urao-ekb.ru ,Телефон: 8 (343) 383-49-49 ,8,"https://www.google.com/maps/place/%D0%A3%D1%80%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F+%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D1%8B,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x43c16c31aedc0d63:0xc224eda929f15e9a!8m2!3d56.8467673!4d60.6579078?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A3%D1%80%D0%B0%D0%BB%D1%8C%D1%81%D0%BA%D0%B0%D1%8F+%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D1%8B,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@56.8467673,60.6557191,17z/data=!4m7!3m6!1s0x43c16c31aedc0d63:0xc224eda929f15e9a!8m2!3d56.8467557!4d60.6577996!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882302431689182563!2y13989567653328543386!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1srjh6YdHkJKr1qwGyioSwBA!7e81
EKT,"ОПБ ""Набат""","Адрес: ул. Металлургов, 6а, Екатеринбург, Свердловская обл., 620000 ",Сайт: nabat-ekb.ru ,Телефон: 8 (343) 287-39-32 ,34,https://www.google.com/maps/place/%D0%9E%D0%9F%D0%91+%22%D0%9D%D0%B0%D0%B1%D0%B0%D1%82%22/data=!4m5!3m4!1s0x43c16e5bb423b069:0x41621358fd5c64ed!8m2!3d56.8259747!4d60.5561205?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D0%9F%D0%91+%22%D0%9D%D0%B0%D0%B1%D0%B0%D1%82%22/@56.8259747,60.5539318,17z/data=!4m7!3m6!1s0x43c16e5bb423b069:0x41621358fd5c64ed!8m2!3d56.8259747!4d60.5561205!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882304811189645417!2y4711349433111700717!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1syDh6YdixFsak3APb8ougBg!7e81
EKT,СОВА,"Адрес: ул. Репина, 101, Екатеринбург, Свердловская обл., 620043 ",Сайт: sowa.ru ,Телефон: 8 (343) 231-58-00 ,26,https://www.google.com/maps/place/%D0%A1%D0%9E%D0%92%D0%90/data=!4m5!3m4!1s0x43c16d8792b91de9:0x1183e97cf23d4eee!8m2!3d56.8204084!4d60.5417464?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A1%D0%9E%D0%92%D0%90/@56.8204084,60.5395577,17z/data=!4m7!3m6!1s0x43c16d8792b91de9:0x1183e97cf23d4eee!8m2!3d56.8204084!4d60.5417464!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882303900095946217!2y1262109043443191534!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s4jh6YZDJAcL2qwGX_avABA!7e81
EKT,Служба Охраны Общественного Правопорядка Рысь.,"Адрес: ул. Цвиллинга, 7Ч, офис 207, Екатеринбург, Свердловская обл., 620142 ",Сайт: соопр-рысь.рф ,Телефон: 8 (343) 220-83-25 ,10,https://www.google.com/maps/place/%D0%A1%D0%BB%D1%83%D0%B6%D0%B1%D0%B0+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D1%8B+%D0%9E%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE+%D0%9F%D1%80%D0%B0%D0%B2%D0%BE%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BA%D0%B0+%D0%A0%D1%8B%D1%81%D1%8C./data=!4m5!3m4!1s0x43c16eb8a5079c49:0x6eef8b756e6caadc!8m2!3d56.813676!4d60.625096?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A1%D0%BB%D1%83%D0%B6%D0%B1%D0%B0+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D1%8B+%D0%9E%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE+%D0%9F%D1%80%D0%B0%D0%B2%D0%BE%D0%BF%D0%BE%D1%80%D1%8F%D0%B4%D0%BA%D0%B0+%D0%A0%D1%8B%D1%81%D1%8C./@56.813676,60.6229073,17z/data=!4m7!3m6!1s0x43c16eb8a5079c49:0x6eef8b756e6caadc!8m2!3d56.813676!4d60.625096!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882305210368105545!2y7993761200085969628!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s_Dh6Yfb4BLKtrgSJpbKYBQ!7e81
EKT,"СОБР, частное охранное предприятие","Адрес: Артинская ул., 4, 303 офис, 3 этаж, Екатеринбург, Свердловская обл., 620017 ",Сайт: sobr-ekb.ru ,Телефон: 8 (929) 219-32-60 ,3,"https://www.google.com/maps/place/%D0%A1%D0%9E%D0%91%D0%A0,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x43c16de1bb521639:0xb80a5d06d18b738e!8m2!3d56.8705609!4d60.6053812?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%9E%D0%91%D0%A0,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@56.8705609,60.6031925,17z/data=!3m1!5s0x43c16de1bea8841d:0xed1fa56f5b0c3f42!4m7!3m6!1s0x43c16de1bb521639:0xb80a5d06d18b738e!8m2!3d56.8705609!4d60.6053812!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882304287324116537!2y13261514336612610958!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sFTl6Ydb2BKH5qwGS9YegCw!7e81
EKT,Эгида,"Адрес: ул. Минометчиков, 11а, Екатеринбург, Свердловская обл., 620050 ",Сайт: egida-ohrana.ru ,Телефон: 8 (343) 373-33-51 ,11,https://www.google.com/maps/place/%D0%AD%D0%B3%D0%B8%D0%B4%D0%B0/data=!4m5!3m4!1s0x43c16e2e9b724301:0x479adfc2c460744a!8m2!3d56.8624077!4d60.5357043?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%AD%D0%B3%D0%B8%D0%B4%D0%B0/@56.8624077,60.5335156,17z/data=!4m7!3m6!1s0x43c16e2e9b724301:0x479adfc2c460744a!8m2!3d56.8624077!4d60.5357043!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882304617501836033!2y5159682350717629514!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sLTl6Ye2VMOLyqwHGjr64Bw!7e81
EKT,"Кайман, Чоп","Адрес: Машинная ул., 29а, Екатеринбург, Свердловская обл., 620142 ",Не указан,Телефон: 8 (343) 376-14-83 ,7,"https://www.google.com/maps/place/%D0%9A%D0%B0%D0%B9%D0%BC%D0%B0%D0%BD,+%D0%A7%D0%BE%D0%BF/data=!4m5!3m4!1s0x43c16ec9dbb453f9:0x84b09b77ca9bca25!8m2!3d56.8070313!4d60.6320079?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%9A%D0%B0%D0%B9%D0%BC%D0%B0%D0%BD,+%D0%A7%D0%BE%D0%BF/@56.8070313,60.6298192,17z/data=!4m7!3m6!1s0x43c16ec9dbb453f9:0x84b09b77ca9bca25!8m2!3d56.8070418!4d60.6321039!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4882305284299838457!2y9561312947710183973!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sRzl6YeL_EoyTrwSV9bX4BA!7e81
