City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
KRASN,Нева-Охрана,"Адрес: ул. Пашковская, 74, Краснодар, Краснодарский край, 350000 ",Сайт: ohrana-neva.ru ,Телефон: 8 (800) 700-18-18 ,117,https://www.google.com/maps/place/%D0%9D%D0%B5%D0%B2%D0%B0-%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0/data=!4m5!3m4!1s0x40f0502058753c33:0x27dceed59ad05aaf!8m2!3d45.0329999!4d38.9718971?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9D%D0%B5%D0%B2%D0%B0-%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0/@45.0329999,38.9697084,17z/data=!4m7!3m6!1s0x40f0502058753c33:0x27dceed59ad05aaf!8m2!3d45.0329999!4d38.9718971!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679328112691199027!2y2872433263548324527!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sJ0h6YYOBJe6RrgTeu76gCg!7e81
KRASN,"ООО ""Охранное предприятие ""Стек""","Адрес: ул. Калинина, 341, Краснодар, Краснодарский край, 350000 ",Сайт: stek-ohrana.ru ,Телефон: 8 (918) 320-71-24 ,8,https://www.google.com/maps/place/%D0%9E%D0%9E%D0%9E+%22%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%A1%D1%82%D0%B5%D0%BA%22/data=!4m5!3m4!1s0x40f04f9934fa76fb:0xa78e08f703b69912!8m2!3d45.0375512!4d38.9744245?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D0%9E%D0%9E+%22%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%A1%D1%82%D0%B5%D0%BA%22/@45.0375512,38.9722358,17z/data=!4m7!3m6!1s0x40f04f9934fa76fb:0xa78e08f703b69912!8m2!3d45.0375512!4d38.9744245!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679327532275365627!2y12073597508039121170!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sUUh6Yf_rNun2qwHVoIOIAw!7e81
KRASN,Евромост,"Адрес: ул. Рашпилевская, 325/1, Краснодар, Краснодарский край, 350051 ",Сайт: evromost.ru ,Телефон: 8 (800) 700-60-90 ,19,https://www.google.com/maps/place/%D0%95%D0%B2%D1%80%D0%BE%D0%BC%D0%BE%D1%81%D1%82/data=!4m5!3m4!1s0x40f04f8352454373:0x9f3df4c89a907e11!8m2!3d45.0655758!4d38.9705007?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%95%D0%B2%D1%80%D0%BE%D0%BC%D0%BE%D1%81%D1%82/@45.0655758,38.968312,17z/data=!4m7!3m6!1s0x40f04f8352454373:0x9f3df4c89a907e11!8m2!3d45.0655771!4d38.9708781!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679327438277526387!2y11474596568033689105!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sc0h6Ya2AAvmVjgbC8JnABw!7e81
KRASN,AN-SECURITY,"Адрес: ул. Кожевенная, 64, Краснодар, Краснодарский край, 350000 ",Сайт: an-security.ru ,Телефон: 8 (928) 419-08-24 ,16,https://www.google.com/maps/place/AN-SECURITY/data=!4m5!3m4!1s0x40f04f0e7d4c09b1:0x50216808325e08db!8m2!3d45.0373916!4d38.9490054?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/AN-SECURITY/@45.0373916,38.9468167,17z/data=!4m7!3m6!1s0x40f04f0e7d4c09b1:0x50216808325e08db!8m2!3d45.0374909!4d38.9490983!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679326936488217009!2y5774010581679737051!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sjkh6YZenHJG_rgT-0Z-gDQ!7e81
KRASN,Филиал ФГУП «Охрана» МВД России по Краснодарскому краю,"Адрес: ул. Красных Партизан, 347, Краснодар, Краснодарский край, 350000 ",Сайт: fgup-ohrana.ru ,Телефон: 8 (861) 226-66-16 ,34,https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%C2%AB%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%C2%BB+%D0%9C%D0%92%D0%94+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8+%D0%BF%D0%BE+%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%BE%D0%BC%D1%83+%D0%BA%D1%80%D0%B0%D1%8E/data=!4m5!3m4!1s0x40f04f427bd0b701:0xa6b1be3bd67526ca!8m2!3d45.053087!4d38.945417?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A4%D0%B8%D0%BB%D0%B8%D0%B0%D0%BB+%D0%A4%D0%93%D0%A3%D0%9F+%C2%AB%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0%C2%BB+%D0%9C%D0%92%D0%94+%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8+%D0%BF%D0%BE+%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%BE%D0%BC%D1%83+%D0%BA%D1%80%D0%B0%D1%8E/@45.053087,38.9432283,17z/data=!4m7!3m6!1s0x40f04f427bd0b701:0xa6b1be3bd67526ca!8m2!3d45.0530642!4d38.9454097!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679327159801657089!2y12011590845384173258!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sqEh6YarUNLKWjgbK2pCoDA!7e81
KRASN,"Охранный холдинг ""Рубеж безопасности""","Адрес: 350000, г. Краснодар, ул. Коммунаров, д. 221/1, оф. 4, ком. 1, Краснодар, Краснодарский край, 350000 ",Сайт: рубеж-безопасности.рф ,Телефон: 8 (988) 242-70-71 ,8,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9+%D1%85%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%22%D0%A0%D1%83%D0%B1%D0%B5%D0%B6+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%22/data=!4m5!3m4!1s0x40f04f9a0273e961:0x1768069bd2b65c48!8m2!3d45.0483613!4d38.981522?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9+%D1%85%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%22%D0%A0%D1%83%D0%B1%D0%B5%D0%B6+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8%22/@45.0483613,38.9793333,17z/data=!4m7!3m6!1s0x40f04f9a0273e961:0x1768069bd2b65c48!8m2!3d45.0483613!4d38.981522!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679327535722654049!2y1686605326775114824!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1swkh6YZfHNNCsrgTDzJSIDQ!7e81
KRASN,"Холдинг безопасности ""НЕВА""",Не указан,Сайт: ohrana-neva.ru ,Телефон: 8 (800) 700-18-18 ,21,https://www.google.com/maps/place/%D0%A5%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%9D%D0%95%D0%92%D0%90%22/data=!4m5!3m4!1s0x40f04fe6af7a0dc1:0x2c8e00899d08708b!8m2!3d45.053548!4d39.016056?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A5%D0%BE%D0%BB%D0%B4%D0%B8%D0%BD%D0%B3+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%9D%D0%95%D0%92%D0%90%22/@45.0576759,38.8575906,11z/data=!4m7!3m6!1s0x40f04fe6af7a0dc1:0x2c8e00899d08708b!8m2!3d45.053548!4d39.016056!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679327865043029441!2y3210504175406837899!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s4Eh6YdKJGpObrwTC26yYBg!7e81
KRASN,"Бастион-гсн, Охранное Предприятие","Адрес: ул. 40-летия Победы, 97/2, Краснодар, Краснодарский край, 350072 ",Сайт: bastion-gsn.ru ,Телефон: 8 (861) 254-69-94 ,7,"https://www.google.com/maps/place/%D0%91%D0%B0%D1%81%D1%82%D0%B8%D0%BE%D0%BD-%D0%B3%D1%81%D0%BD,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x40f04514ed9687b5:0x84f72bde9a87ea2a!8m2!3d45.0566362!4d39.0294008?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%91%D0%B0%D1%81%D1%82%D0%B8%D0%BE%D0%BD-%D0%B3%D1%81%D0%BD,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@45.0566362,39.0272121,17z/data=!4m7!3m6!1s0x40f04514ed9687b5:0x84f72bde9a87ea2a!8m2!3d45.0566361!4d39.0293806!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679315969025673141!2y9581174967329352234!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s-Uh6YbmOLfHzqwHY7Iv4BQ!7e81
KRASN,"Роснефть-Охрана-Краснодар, частное охранное предприятие","Адрес: ул. Энгельса, 86, Краснодар, Краснодарский край, 350004 ",Не указан,Телефон: 8 (861) 216-83-19 ,3,"https://www.google.com/maps/place/%D0%A0%D0%BE%D1%81%D0%BD%D0%B5%D1%84%D1%82%D1%8C-%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0-%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x40f04f13451a8529:0x3ba1538506cbc0b6!8m2!3d45.0474463!4d38.946973?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A0%D0%BE%D1%81%D0%BD%D0%B5%D1%84%D1%82%D1%8C-%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%B0-%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@45.0474463,38.9447843,17z/data=!4m7!3m6!1s0x40f04f13451a8529:0x3ba1538506cbc0b6!8m2!3d45.0474454!4d38.9469791!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679326957020284201!2y4296807350297936054!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sE0l6YdePDsqnrgTLopzYCA!7e81
KRASN,"ЧОО ""Альфа-Юг Сервис""","Адрес: ул. Кореновская, 12, Краснодар, Краснодарский край, 350005 ",Сайт: альфа-юг.рф ,Телефон: 8 (861) 258-53-22 ,5,https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9E+%22%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%AE%D0%B3+%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D1%81%22/data=!4m5!3m4!1s0x40f0467f93096815:0x4322483d286568b4!8m2!3d45.0968553!4d38.9766342?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9E+%22%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%AE%D0%B3+%D0%A1%D0%B5%D1%80%D0%B2%D0%B8%D1%81%22/@45.0968553,38.9744455,17z/data=!4m7!3m6!1s0x40f0467f93096815:0x4322483d286568b4!8m2!3d45.0968553!4d38.9766342!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4679317526579603477!2y4837508377257273524!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sLUl6YbbmC-TJrgTKj4uQCQ!7e81
