City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
KZN,"Частная охранная организация ""Барс""","Адрес: Центральная ул., д. 39, Казань, Респ. Татарстан, 420097 ",Сайт: bars-kzn.ru ,Телефон: 8 (843) 240-59-99 ,21,https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%B0%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%22%D0%91%D0%B0%D1%80%D1%81%22/data=!4m5!3m4!1s0x415ead3dcfcba3c9:0x9415532c79a5c940!8m2!3d55.7818069!4d49.1544571?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%B0%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%22%D0%91%D0%B0%D1%80%D1%81%22/@55.7818069,49.1522684,17z/data=!4m7!3m6!1s0x415ead3dcfcba3c9:0x9415532c79a5c940!8m2!3d55.7818069!4d49.1544571!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710392741266957257!2y10670526342608832832!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1salF6Ye2TF4qYrwS5lKnADw!7e81
KZN,"Технологии Безопасности, Охранное Предприятие","Адрес: ул. Маршала Чуйкова, 58, Казань, Респ. Татарстан, 420137 ",Сайт: dozor16.ru ,Телефон: 8 (843) 214-25-21 ,9,"https://www.google.com/maps/place/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8+%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x415eb2b33e39eef3:0xc1dad2312d7a3f5!8m2!3d55.8355949!4d49.1497025?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A2%D0%B5%D1%85%D0%BD%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%B8+%D0%91%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.8355949,49.1475138,17z/data=!4m7!3m6!1s0x415eb2b33e39eef3:0xc1dad2312d7a3f5!8m2!3d55.8355781!4d49.1497028!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710398743188991731!2y873044268931326965!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sk1F6YZuJA83mrgTq3qHYDQ!7e81
KZN,"КЕННАРД, охранное предприятие","Адрес: 35, ул. Гоголя, 1, Казань, Респ. Татарстан, 420015 ",Сайт: kennard.ru ,Телефон: 8 (843) 537-88-42 ,28,"https://www.google.com/maps/place/%D0%9A%D0%95%D0%9D%D0%9D%D0%90%D0%A0%D0%94,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x415ead6cb7e99141:0x17c4798ee9c795c2!8m2!3d55.7923126!4d49.131731?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%9A%D0%95%D0%9D%D0%9D%D0%90%D0%A0%D0%94,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.7923126,49.1295423,17z/data=!4m7!3m6!1s0x415ead6cb7e99141:0x17c4798ee9c795c2!8m2!3d55.7923116!4d49.1317423!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710392942729728321!2y1712627413022119362!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sslF6YZvVMPCmrgS3x4fgCA!7e81
KZN,"Агентство безопасности Динамо, ЧОП","Адрес: ул. Фатыха Амирхана, 13, Казань, Респ. Татарстан, 420107 ",Сайт: abdinamo.ru ,Телефон: 8 (843) 212-02-07 ,8,"https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE,+%D0%A7%D0%9E%D0%9F/data=!4m5!3m4!1s0x415ead060145982d:0xc6ddd0214298e8f!8m2!3d55.8215625!4d49.1326552?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE,+%D0%A7%D0%9E%D0%9F/@55.8215625,49.1304665,17z/data=!4m7!3m6!1s0x415ead060145982d:0xc6ddd0214298e8f!8m2!3d55.8216648!4d49.132654!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710392501578864685!2y895614901914537615!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1szFF6Yd1Aw4WvBMqJhIAG!7e81
KZN,"Ранжир, Чоо","Адрес: yлица Дементьева, 16, Казань, Респ. Татарстан, 420127 ",Сайт: rangir-ohrana.ru ,Телефон: 8 (843) 216-62-87 ,13,"https://www.google.com/maps/place/%D0%A0%D0%B0%D0%BD%D0%B6%D0%B8%D1%80,+%D0%A7%D0%BE%D0%BE/data=!4m5!3m4!1s0x41594d6fc35fd3af:0x412222950193bfc1!8m2!3d55.8575714!4d49.1029212?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A0%D0%B0%D0%BD%D0%B6%D0%B8%D1%80,+%D0%A7%D0%BE%D0%BE/@55.8575714,49.1007325,17z/data=!4m7!3m6!1s0x41594d6fc35fd3af:0x412222950193bfc1!8m2!3d55.8574698!4d49.1028231!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4708880027807110063!2y4693351785045409729!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s5lF6YfyRHcWIrwSmxIf4Dg!7e81
KZN,ГАРДА ЧОО Казань,"Адрес: пер. Односторонки Гривки, 10, Казань, Респ. Татарстан, 420066 ",Сайт: rf-garda.ru ,Телефон: 8 (843) 237-97-31 ,12,https://www.google.com/maps/place/%D0%93%D0%90%D0%A0%D0%94%D0%90+%D0%A7%D0%9E%D0%9E+%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C/data=!4m5!3m4!1s0x415ead34b784f9b1:0xbaf2dd3ed7a0b681!8m2!3d55.812656!4d49.089461?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D0%90%D0%A0%D0%94%D0%90+%D0%A7%D0%9E%D0%9E+%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C/@55.812656,49.0872723,17z/data=!4m7!3m6!1s0x415ead34b784f9b1:0xbaf2dd3ed7a0b681!8m2!3d55.8126886!4d49.0894026!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710392702204967345!2y13471072697393919617!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sAFJ6YbLHJ673qwGO9a2oBQ!7e81
KZN,"Алиби, Чоп","Адрес: ул. Кремлевская, 25/22, Казань, Респ. Татарстан, 420111 ",Не указан,Телефон: 8 (843) 292-67-27 ,83,"https://www.google.com/maps/place/%D0%90%D0%BB%D0%B8%D0%B1%D0%B8,+%D0%A7%D0%BE%D0%BF/data=!4m5!3m4!1s0x415ead168e5e6079:0x5a36a778e6ca825b!8m2!3d55.7930818!4d49.1176868?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%90%D0%BB%D0%B8%D0%B1%D0%B8,+%D0%A7%D0%BE%D0%BF/@55.7930818,49.1154981,17z/data=!4m7!3m6!1s0x415ead168e5e6079:0x5a36a778e6ca825b!8m2!3d55.7930818!4d49.1176868!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710392572665553017!2y6500567249865835099!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sGlJ6YeLzF-_IrgTC8J6ABQ!7e81
KZN,Застава,"Адрес: ул. Побежимова, 55А, Казань, Респ. Татарстан, 420036 ",Сайт: opzastava.org ,Телефон: 8 (843) 510-31-54 ,40,https://www.google.com/maps/place/%D0%97%D0%B0%D1%81%D1%82%D0%B0%D0%B2%D0%B0/data=!4m5!3m4!1s0x41594d7f73e3c2b3:0xcc9d6cf8be1e606b!8m2!3d55.8596858!4d49.0750332?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%97%D0%B0%D1%81%D1%82%D0%B0%D0%B2%D0%B0/@55.8596858,49.0728445,17z/data=!4m7!3m6!1s0x41594d7f73e3c2b3:0xcc9d6cf8be1e606b!8m2!3d55.8596874!4d49.0750219!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4708880095193055923!2y14744060570678222955!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sNFJ6YfOcIOTjrgSTtZegDA!7e81
KZN,"Частное охранное предприятие ""КАРЕ""","Адрес: ул. Космонавтов, 39Б, 3, Казань, Респ. Татарстан, 420061 ",Сайт: kare-kzn.ru ,Телефон: 8 (843) 295-35-88 ,5,https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%9A%D0%90%D0%A0%D0%95%22/data=!4m5!3m4!1s0x415eb27d93454f07:0x32521156432fc81c!8m2!3d55.8004239!4d49.194889?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%22%D0%9A%D0%90%D0%A0%D0%95%22/@55.8004239,49.1927003,17z/data=!4m7!3m6!1s0x415eb27d93454f07:0x32521156432fc81c!8m2!3d55.8004239!4d49.194889!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710398512687566599!2y3625979712178735132!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sTlJ6YdiTE6qHwPAP7aC46AU!7e81
KZN,"МЕДВЕДЬ, охранное предприятие","Адрес: ул. Закиева, 41А, Казань, Респ. Татарстан, 420100 ",Не указан,Телефон: 8 (843) 267-90-70 ,3,"https://www.google.com/maps/place/%D0%9C%D0%95%D0%94%D0%92%D0%95%D0%94%D0%AC,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x415eb208b6cd63ff:0x8c3bd077af672cde!8m2!3d55.7767335!4d49.2325189?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%9C%D0%95%D0%94%D0%92%D0%95%D0%94%D0%AC,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.7767335,49.2303302,17z/data=!4m7!3m6!1s0x415eb208b6cd63ff:0x8c3bd077af672cde!8m2!3d55.7767333!4d49.2326624!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4710398010772513791!2y10104899401398299870!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sZ1J6YaObKMXrrgT3163QBQ!7e81
