City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
MSC,bodyguard24,"Адрес: ул. Маршала Воробьёва, 14к2, Москва, 123458 ",Сайт: bodyguard24.ru ,Телефон: 8 (495) 295-04-88 ,0,https://www.google.com/maps/place/bodyguard24/data=!4m5!3m4!1s0x46b5494b7b311e19:0xa92bafc1ff5668a7!8m2!3d55.7920979!4d37.3885708?authuser=0&hl=ru&rclk=1,False,False
MSC,ГК Легис,"Адрес: Златоустинский Большой пер., 7c1, Москва, Московская обл., 101000 ",Сайт: legis-s.ru ,Телефон: 8 (495) 777-00-33 ,135,https://www.google.com/maps/place/%D0%93%D0%9A+%D0%9B%D0%B5%D0%B3%D0%B8%D1%81/data=!4m5!3m4!1s0x46b54a5ef2252ad9:0xb1bbb9281de1572b!8m2!3d55.7586456!4d37.6327076?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D0%9A+%D0%9B%D0%B5%D0%B3%D0%B8%D1%81/@55.7586456,37.6305189,17z/data=!4m7!3m6!1s0x46b54a5ef2252ad9:0xb1bbb9281de1572b!8m2!3d55.7586456!4d37.6327076!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095060325089487577!2y12807033547309274923!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sC116YYHEIcPnrgSMiIPAAw!7e81
MSC,"Частное охранное предприятие ОГ ""Дубровник""","Адрес: стр. 8,, Бакунинская ул., 92, Москва, 105082 ",Сайт: dubrovnik.ru ,Телефон: 8 (495) 785-15-20 ,31,https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%9E%D0%93+%22%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%22/data=!4m5!3m4!1s0x46b5357a6c4f7101:0xc42ae076d825309a!8m2!3d55.77957!4d37.6929989?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%9E%D0%93+%22%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA%22/@55.77957,37.6908102,17z/data=!4m7!3m6!1s0x46b5357a6c4f7101:0xc42ae076d825309a!8m2!3d55.7795646!4d37.6930067!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095037353359012097!2y14135357181492801690!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sJl16YcKLCsOQrgT4q6mICA!7e81
MSC,Вольф ЧОП,"Адрес: ул. Федора Полетаева, 7, Москва, 109457 ",Сайт: chop-wolf.ru ,Телефон: 8 (966) 029-41-42 ,19,https://www.google.com/maps/place/%D0%92%D0%BE%D0%BB%D1%8C%D1%84+%D0%A7%D0%9E%D0%9F/data=!4m5!3m4!1s0x414ab59fca795adb:0x6d725bef06e0a36e!8m2!3d55.7137074!4d37.7772511?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%92%D0%BE%D0%BB%D1%8C%D1%84+%D0%A7%D0%9E%D0%9F/@55.7137074,37.7750624,17z/data=!4m7!3m6!1s0x414ab59fca795adb:0x6d725bef06e0a36e!8m2!3d55.7136928!4d37.7771949!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4704772458643282651!2y7886466979649856366!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sQF16YY6PA_CIrwTngZDYDw!7e81
MSC,Группа предприятий безопасности Альфа-Легион,"Адрес: ул. Новаторов, 36 корпус 2, Москва, 117393 ",Сайт: alfalegion.ru ,Телефон: 8 (499) 739-81-24 ,101,https://www.google.com/maps/place/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/data=!4m5!3m4!1s0x46b54d1983c20ea9:0xdab105bd72f49f4d!8m2!3d55.66226!4d37.521827?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D1%80%D1%83%D0%BF%D0%BF%D0%B0+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/@55.66226,37.5196383,17z/data=!4m7!3m6!1s0x46b54d1983c20ea9:0xdab105bd72f49f4d!8m2!3d55.6622278!4d37.5217803!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095063325419638441!2y15758382882381668173!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sWV16YdbAF6H1qwH-zJvYBQ!7e81
MSC,"Агентство ""ЛУКОМ-А""","Адрес: ул. Бурденко, 24, Москва, 119121 ",Сайт: lukom-a.ru ,Телефон: 8 (495) 234-96-86 ,36,https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%22%D0%9B%D0%A3%D0%9A%D0%9E%D0%9C-%D0%90%22/data=!4m5!3m4!1s0x414ab351305e1be1:0x26ea7029be040daf!8m2!3d55.7391235!4d37.5779871?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%22%D0%9B%D0%A3%D0%9A%D0%9E%D0%9C-%D0%90%22/@55.7391235,37.5757984,17z/data=!4m7!3m6!1s0x414ab351305e1be1:0x26ea7029be040daf!8m2!3d55.7391235!4d37.5779871!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4704769922027101153!2y2804177042575461807!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sc116YZ78IuqgrgTdpIOYDw!7e81
MSC,Легион,"Адрес: ул. Кржижановского, 24/35 к4, Москва, 117218 ",Сайт: 1293717.ru ,Телефон: 8 (499) 129-37-17 ,24,https://www.google.com/maps/place/%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/data=!4m5!3m4!1s0x46b54cc7a3e47691:0x8e950e675f1fd880!8m2!3d55.676453!4d37.5778441?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/@55.676453,37.5756554,17z/data=!4m7!3m6!1s0x46b54cc7a3e47691:0x8e950e675f1fd880!8m2!3d55.676453!4d37.5778441!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095062973771445905!2y10274133962055997568!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sj116YdivN--GwPAP3eaOyAI!7e81
MSC,ЧОП Легион,"Адрес: Новинский бул., 20а, стр. 3-6, Москва, 121069 ",Сайт: legion-op.ru ,Телефон: 8 (495) 632-00-84 ,11,https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9F+%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/data=!4m5!3m4!1s0x46b54bb028cce4d5:0x4ddf7da378e7dcbc!8m2!3d55.7561089!4d37.5857057?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9F+%D0%9B%D0%B5%D0%B3%D0%B8%D0%BE%D0%BD/@55.7561089,37.583517,17z/data=!4m7!3m6!1s0x46b54bb028cce4d5:0x4ddf7da378e7dcbc!8m2!3d55.7561195!4d37.58564!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095061773410428117!2y5611341801788529852!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sqV16Ya37Gs6SrgSP8qn4Dw!7e81
MSC,"СТРОНГО, частное охранное предприятие","Адрес: Саввинская наб., 5, Вход Со Двора, Москва, 119121 ",Сайт: strongo-company.ru ,Телефон: 8 (499) 248-31-15 ,27,"https://www.google.com/maps/place/%D0%A1%D0%A2%D0%A0%D0%9E%D0%9D%D0%93%D0%9E,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x46b54bbc17c640af:0xa5e8be70c48c982f!8m2!3d55.737879!4d37.570331?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%A2%D0%A0%D0%9E%D0%9D%D0%93%D0%9E,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@55.737879,37.5681423,17z/data=!4m7!3m6!1s0x46b54bbc17c640af:0xa5e8be70c48c982f!8m2!3d55.7379048!4d37.5701925!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095061824664387759!2y11955014602398144559!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sw116YdahAfHhrgS_yZGQDw!7e81
MSC,"Охранное предприятие ЧОП ""ОберегЪ""","Адрес: Москва, ул. Большая почтовая д.26В стр.2, Москва, 105082 ",Сайт: o-bereg.ru ,Телефон: 8 (495) 646-01-15 ,61,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%A7%D0%9E%D0%9F+%22%D0%9E%D0%B1%D0%B5%D1%80%D0%B5%D0%B3%D0%AA%22/data=!4m5!3m4!1s0x46b53570035edd63:0x98377661381b82cb!8m2!3d55.7781991!4d37.6994413?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5+%D0%A7%D0%9E%D0%9F+%22%D0%9E%D0%B1%D0%B5%D1%80%D0%B5%D0%B3%D0%AA%22/@55.7781991,37.6972526,17z/data=!4m7!3m6!1s0x46b53570035edd63:0x98377661381b82cb!8m2!3d55.7781991!4d37.6994413!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5095037308648742243!2y10968365577409364683!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s8F16YZS8HKLqrgSp_4qIAw!7e81
