City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
SPB,Охранное предприятие,"Адрес: корп., набережная реки Фонтанки, 90 корпус 8, Санкт-Петербург, 191180 ",Не указан,Телефон: 8 (812) 312-01-01 ,19,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x469631aa65526555:0x8af8a86dbe7fdd97!8m2!3d59.925216!4d30.330153?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@59.925216,30.3279643,17z/data=!4m7!3m6!1s0x469631aa65526555:0x8af8a86dbe7fdd97!8m2!3d59.9252312!4d30.3301954!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086307437075653973!2y10013938960759250327!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s1dJ6YfK7I4-drgS5xLyICQ!7e81
SPB,"Топаз, охранное предприятие","Адрес: Краснопутиловская ул., 69, Санкт-Петербург, 198152 ",Сайт: op-topaz.ru ,Телефон: 8 (812) 973-23-61 ,31,"https://www.google.com/maps/place/%D0%A2%D0%BE%D0%BF%D0%B0%D0%B7,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x46963a9595aa56fd:0x4ba7e1a031156c67!8m2!3d59.859897!4d30.287664?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A2%D0%BE%D0%BF%D0%B0%D0%B7,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@59.859897,30.2854753,17z/data=!4m7!3m6!1s0x46963a9595aa56fd:0x4ba7e1a031156c67!8m2!3d59.859897!4d30.287664!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086317243297060605!2y5451573952089779303!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s8NJ6Yf-DOI-UrwTW5LWgDA!7e81
SPB,БОРС охранное предприятие,"Адрес: ул. Кропоткина, 11, Санкт-Петербург, Ленинградская обл., 187111 ",Сайт: bors.pro ,Телефон: 8 (931) 985-24-24 ,164,https://www.google.com/maps/place/%D0%91%D0%9E%D0%A0%D0%A1+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x46963151a412e5fb:0xd1fd5a8fb61b9352!8m2!3d59.958882!4d30.3083789?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%91%D0%9E%D0%A0%D0%A1+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@59.958882,30.3061902,17z/data=!4m7!3m6!1s0x46963151a412e5fb:0xd1fd5a8fb61b9352!8m2!3d59.958882!4d30.3083789!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086307055876367867!2y15131349896316818258!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sC9N6YYz5I4b1rgSM06yQAg!7e81
SPB,"Альянс структур безопасности ""Воевода""","Адрес: БЦ ""Киевская 6"", Киевская ул., 6, Санкт-Петербург, 196084 ",Сайт: asb-voevoda.ru ,Телефон: 8 (812) 920-06-67 ,55,https://www.google.com/maps/place/%D0%90%D0%BB%D1%8C%D1%8F%D0%BD%D1%81+%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%92%D0%BE%D0%B5%D0%B2%D0%BE%D0%B4%D0%B0%22/data=!4m5!3m4!1s0x4696305cb2d730d3:0xb4aad90f9e04a433!8m2!3d59.902943!4d30.322845?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D0%BB%D1%8C%D1%8F%D0%BD%D1%81+%D1%81%D1%82%D1%80%D1%83%D0%BA%D1%82%D1%83%D1%80+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%92%D0%BE%D0%B5%D0%B2%D0%BE%D0%B4%D0%B0%22/@59.902943,30.3206563,17z/data=!4m7!3m6!1s0x4696305cb2d730d3:0xb4aad90f9e04a433!8m2!3d59.902943!4d30.322845!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086306003857125587!2y13018456333966681139!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sKNN6YcvfJaOWjgb2nqTwCA!7e81
SPB,"Петербург-безопасность, Оп","Адрес: ул. Ткачей, 46, Санкт-Петербург, 192029 ",Сайт: ohrana-piter.ru ,Телефон: 8 (812) 365-44-92 ,27,"https://www.google.com/maps/place/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C,+%D0%9E%D0%BF/data=!4m5!3m4!1s0x46962fc9509fd691:0x2a4eb2d6bd3084ac!8m2!3d59.890298!4d30.423685?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3-%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C,+%D0%9E%D0%BF/@59.890298,30.4214963,17z/data=!4m7!3m6!1s0x46962fc9509fd691:0x2a4eb2d6bd3084ac!8m2!3d59.8903213!4d30.4237076!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086305370849138321!2y3048570633143223468!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sRNN6YZPRFsSQrgST0LWoCw!7e81
SPB,БалтОхранСоюз,"Адрес: 4-я Советская ул., 8, Санкт-Петербург, 191187 ",Сайт: baltsecurity.ru ,Телефон: 8 (800) 350-03-96 ,31,https://www.google.com/maps/place/%D0%91%D0%B0%D0%BB%D1%82%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%A1%D0%BE%D1%8E%D0%B7/data=!4m5!3m4!1s0x46963174e813c84f:0x7c97588b057732f9!8m2!3d59.934393!4d30.3677811?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%91%D0%B0%D0%BB%D1%82%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%A1%D0%BE%D1%8E%D0%B7/@59.934393,30.3655924,17z/data=!4m7!3m6!1s0x46963174e813c84f:0x7c97588b057732f9!8m2!3d59.934393!4d30.3677811!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086307207341131855!2y8977741736301769465!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sXtN6Yd28GrD3qwGm1LDQAQ!7e81
SPB,АСБ,"Адрес: Гельсингфорсская ул., 4, Санкт-Петербург, 194044 ",Сайт: asb-security.ru ,Телефон: 8 (812) 449-42-02 ,5,https://www.google.com/maps/place/%D0%90%D0%A1%D0%91/data=!4m5!3m4!1s0x469633e0f2ba518f:0xc734e8dabba27f93!8m2!3d59.974071!4d30.3352978?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D0%A1%D0%91/@59.974071,30.3331091,17z/data=!4m7!3m6!1s0x469633e0f2ba518f:0xc734e8dabba27f93!8m2!3d59.974071!4d30.3352978!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086309870399541647!2y14354353938485116819!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sedN6Yd22D-PyqwG0gpzwCA!7e81
SPB,Центр безопасности «Кречет»,"Адрес: Московский пр-т., 130, Санкт-Петербург, 196084 ",Сайт: krechet-rf.ru ,Телефон: 8 (812) 643-42-65 ,27,https://www.google.com/maps/place/%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%C2%AB%D0%9A%D1%80%D0%B5%D1%87%D0%B5%D1%82%C2%BB/data=!4m5!3m4!1s0x4696306db3771d21:0x8e81a3edcd5f78cc!8m2!3d59.888413!4d30.320115?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A6%D0%B5%D0%BD%D1%82%D1%80+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%C2%AB%D0%9A%D1%80%D0%B5%D1%87%D0%B5%D1%82%C2%BB/@59.888413,30.3179263,17z/data=!4m7!3m6!1s0x4696306db3771d21:0x8e81a3edcd5f78cc!8m2!3d59.8884133!4d30.3201333!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086306076882050337!2y10268668867129604300!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sk9N6YbepOKawrgTMrK6wDg!7e81
SPB,"Охранная организация ""АН-Секьюрити Директ""","Адрес: Свердловская наб., 60, Санкт-Петербург, 191144 ",Сайт: an-direct.ru ,Телефон: 8 (812) 318-40-01 ,9,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%22%D0%90%D0%9D-%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8+%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%22/data=!4m5!3m4!1s0x46963195a56f2a81:0x595f16634e6f95d7!8m2!3d59.9544827!4d30.4086666?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B0%D1%8F+%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F+%22%D0%90%D0%9D-%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8+%D0%94%D0%B8%D1%80%D0%B5%D0%BA%D1%82%22/@59.9544827,30.4064779,17z/data=!4m7!3m6!1s0x46963195a56f2a81:0x595f16634e6f95d7!8m2!3d59.9544855!4d30.4085641!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086307347956968065!2y6439890607936607703!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1swtN6YdeoB8KWjgaiqoaQAg!7e81
SPB,"Ассоциация Защита, Охранное Предприятие, ООО","Адрес: Захарьевская ул., дом 37, Санкт-Петербург, 191036 ",Сайт: zaschita-spb.ru ,Телефон: 8 (812) 273-09-34 ,13,"https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%97%D0%B0%D1%89%D0%B8%D1%82%D0%B0,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5,+%D0%9E%D0%9E%D0%9E/data=!4m5!3m4!1s0x469631bc48ecb46b:0x8bcdb2b10c5de61d!8m2!3d59.94749!4d30.363099?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%97%D0%B0%D1%89%D0%B8%D1%82%D0%B0,+%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%9F%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5,+%D0%9E%D0%9E%D0%9E/@59.94749,30.3609103,17z/data=!4m7!3m6!1s0x469631bc48ecb46b:0x8bcdb2b10c5de61d!8m2!3d59.94749!4d30.363099!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y5086307513908638827!2y10073904414984103453!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s3NN6YeOuF5aWrwSdmIbQDA!7e81
