City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
VORON,"Сармат, ассоциация охранных предприятий","Адрес: Крымская ул., 14, Воронеж, Воронежская обл., 394038 ",Сайт: sarmat-vrn.ru ,Телефон: 8 (473) 239-17-03 ,19,"https://www.google.com/maps/place/%D0%A1%D0%B0%D1%80%D0%BC%D0%B0%D1%82,+%D0%B0%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9/data=!4m5!3m4!1s0x413b2eeae22676fb:0x7f89c8c3bc0d6171!8m2!3d51.662806!4d39.1689303?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%B0%D1%80%D0%BC%D0%B0%D1%82,+%D0%B0%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9/@51.662806,39.1667416,17z/data=!4m7!3m6!1s0x413b2eeae22676fb:0x7f89c8c3bc0d6171!8m2!3d51.6628001!4d39.1689137!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402222442641147!2y9190097257625379185!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s1vl6YZeTK4-xrgSPybDQAg!7e81
VORON,"Русь, частное охранное предприятие","Адрес: ул. Моисеева, 37, Воронеж, Воронежская обл., 394055 ",Сайт: ohrana-region.ru ,Телефон: 8 (473) 207-05-27 ,8,"https://www.google.com/maps/place/%D0%A0%D1%83%D1%81%D1%8C,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x413b2ee59b6bbcf5:0x6f8d3b43501094ce!8m2!3d51.6508258!4d39.1800222?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A0%D1%83%D1%81%D1%8C,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@51.6508258,39.1778335,17z/data=!4m7!3m6!1s0x413b2ee59b6bbcf5:0x6f8d3b43501094ce!8m2!3d51.6508258!4d39.1800222!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402199781162229!2y8038146070218314958!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s8_l6Yc_iD6WOrwSwrbvwCQ!7e81
VORON,"Ассоциация охранных предприятий ""Торнадо""","Адрес: ул. Антонова-Овсеенко, 31, Воронеж, Воронежская обл., 394088 ",Сайт: tornadod.ru ,Телефон: 8 (473) 228-89-49 ,11,https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%22%D0%A2%D0%BE%D1%80%D0%BD%D0%B0%D0%B4%D0%BE%22/data=!4m5!3m4!1s0x413b28ea298428f5:0x2d6f08a29dbc1eeb!8m2!3d51.7141056!4d39.1457194?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D1%81%D1%81%D0%BE%D1%86%D0%B8%D0%B0%D1%86%D0%B8%D1%8F+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D1%85+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B9+%22%D0%A2%D0%BE%D1%80%D0%BD%D0%B0%D0%B4%D0%BE%22/@51.7141056,39.1435307,17z/data=!4m7!3m6!1s0x413b28ea298428f5:0x2d6f08a29dbc1eeb!8m2!3d51.7141056!4d39.1457194!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700395622275229941!2y3273844948645715691!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sEPp6YeftLuvKrgSKnK_gBw!7e81
VORON,Вепрь,"Адрес: ул. Старых Большевиков, 4А, Воронеж, Воронежская обл., 394042 ",Не указан,Телефон: 8 (473) 226-57-94 ,16,https://www.google.com/maps/place/%D0%92%D0%B5%D0%BF%D1%80%D1%8C/data=!4m5!3m4!1s0x413b2f991dfd33c3:0x9c65437276e08a09!8m2!3d51.680256!4d39.254278?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%92%D0%B5%D0%BF%D1%80%D1%8C/@51.680256,39.2520893,17z/data=!4m7!3m6!1s0x413b2f991dfd33c3:0x9c65437276e08a09!8m2!3d51.680256!4d39.254278!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402970770879427!2y11269487801464293897!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sLfp6YeCGCuvlrgTriZdg!7e81
VORON,Патруль,"Адрес: б-р Победы, 50Б, Воронеж, Воронежская обл., 394088 ",Сайт: patrul-36.ru ,Телефон: 8 (473) 262-17-95 ,11,https://www.google.com/maps/place/%D0%9F%D0%B0%D1%82%D1%80%D1%83%D0%BB%D1%8C/data=!4m5!3m4!1s0x413b28e9e8761c17:0xe6f528ad80b40af2!8m2!3d51.7122899!4d39.1461994?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9F%D0%B0%D1%82%D1%80%D1%83%D0%BB%D1%8C/@51.7122899,39.1440107,17z/data=!4m7!3m6!1s0x413b28e9e8761c17:0xe6f528ad80b40af2!8m2!3d51.7122134!4d39.1461991!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700395621183790103!2y16642252723671272178!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sSfp6Ye-LFOejrgT98J74CQ!7e81
VORON,ЧОО Альфа-Черноземье Воронеж,"Адрес: ул. Солнечная, 17А, Воронеж, Воронежская обл., 394019 ",Сайт: alphavrn.ru ,Телефон: 8 (920) 229-26-91 ,12,https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9E+%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B7%D0%B5%D0%BC%D1%8C%D0%B5+%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6/data=!4m5!3m4!1s0x413b2ed0a7079b03:0xbad690615f618652!8m2!3d51.6795084!4d39.1645645?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9E+%D0%90%D0%BB%D1%8C%D1%84%D0%B0-%D0%A7%D0%B5%D1%80%D0%BD%D0%BE%D0%B7%D0%B5%D0%BC%D1%8C%D0%B5+%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6/@51.6795084,39.1623758,17z/data=!4m7!3m6!1s0x413b2ed0a7079b03:0xbad690615f618652!8m2!3d51.6795084!4d39.1645645!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402109781613315!2y13463106883957130834!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sZvp6YbvHAYSWrwSuvZrAAQ!7e81
VORON,"Редут-СБ, охранное предприятие","Адрес: ул. Владимира Невского, 39Д, Воронеж, Воронежская обл., 394005 ",Сайт: redut36.ru ,Телефон: 8 (473) 274-65-65 ,7,"https://www.google.com/maps/place/%D0%A0%D0%B5%D0%B4%D1%83%D1%82-%D0%A1%D0%91,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x413b28bdcc6cc205:0xaac89295f89a93b!8m2!3d51.7194138!4d39.165808?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A0%D0%B5%D0%B4%D1%83%D1%82-%D0%A1%D0%91,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@51.7194138,39.1636193,17z/data=!4m7!3m6!1s0x413b28bdcc6cc205:0xaac89295f89a93b!8m2!3d51.7194138!4d39.165808!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700395431734854149!2y769140447163033915!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sg_p6Yam1GOGsrgSHp4W4CQ!7e81
VORON,"Скорпион-Гарант, частное охранное предприятие","Адрес: ул. Челюскинцев, 69, Воронеж, Воронежская обл., 394071 ",Не указан,Телефон: 8 (473) 271-72-54 ,3,"https://www.google.com/maps/place/%D0%A1%D0%BA%D0%BE%D1%80%D0%BF%D0%B8%D0%BE%D0%BD-%D0%93%D0%B0%D1%80%D0%B0%D0%BD%D1%82,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x413b2e665e9f5e0f:0xc7e28f6f4396f223!8m2!3d51.64497!4d39.1963651?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%A1%D0%BA%D0%BE%D1%80%D0%BF%D0%B8%D0%BE%D0%BD-%D0%93%D0%B0%D1%80%D0%B0%D0%BD%D1%82,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@51.64497,39.1941764,17z/data=!4m7!3m6!1s0x413b2e665e9f5e0f:0xc7e28f6f4396f223!8m2!3d51.6450825!4d39.1966112!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700401653300289039!2y14403232266322375203!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sofp6YbDsCu-IrwSLg5qwCg!7e81
VORON,"Агентство безопасности ""Аргумент""","Адрес: Транспортная ул., 83А, офис 1, Воронеж, Воронежская обл., 394024 ",Сайт: argumentvrn.ru ,Телефон: 8 (473) 229-96-44 ,3,https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%90%D1%80%D0%B3%D1%83%D0%BC%D0%B5%D0%BD%D1%82%22/data=!4m5!3m4!1s0x413b2f1595d900d7:0xb99e8368b6151ec!8m2!3d51.6977784!4d39.2070315?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE+%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8+%22%D0%90%D1%80%D0%B3%D1%83%D0%BC%D0%B5%D0%BD%D1%82%22/@51.6977784,39.2048428,17z/data=!4m7!3m6!1s0x413b2f1595d900d7:0xb99e8368b6151ec!8m2!3d51.6977784!4d39.2070315!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402405846089943!2y835954526818226668!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1svfp6YaTMGIOwrgTaz7KwBw!7e81
VORON,"БЕЛЫЙ МЕДВЕДЬ, частное охранное предприятие","Адрес: пл. Ленина, 73, Воронеж, Воронежская обл., 394018 ",Сайт: белыймедведь36.рф ,Телефон: 8 (473) 203-01-36 ,4,"https://www.google.com/maps/place/%D0%91%D0%95%D0%9B%D0%AB%D0%99+%D0%9C%D0%95%D0%94%D0%92%D0%95%D0%94%D0%AC,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x413b2f1f85d06d77:0x97fdd280dff2eb5d!8m2!3d51.6611046!4d39.2021823?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%91%D0%95%D0%9B%D0%AB%D0%99+%D0%9C%D0%95%D0%94%D0%92%D0%95%D0%94%D0%AC,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@51.6611046,39.1999936,17z/data=!4m7!3m6!1s0x413b2f1f85d06d77:0x97fdd280dff2eb5d!8m2!3d51.6611046!4d39.2021823!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4700402448526765431!2y10952141319789800285!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1s2fp6Yc2AOICGwPAP2p6DaA!7e81
