City,Company,Address,Site,Phone,Count of reviews,Main URL,Reviews url,JSON ANS
YO-OLA,"ОХРАНА, частное охранное предприятие","Адрес: ул. Пролетарская, 44, Йошкар-Ола, Респ. Марий Эл, 424037 ",Сайт: ohrana12.ru ,Телефон: 8 (836) 246-25-19 ,7,"https://www.google.com/maps/place/%D0%9E%D0%A5%D0%A0%D0%90%D0%9D%D0%90,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x4159eb2694f0110b:0xd21ed487929790e!8m2!3d56.6466414!4d47.8881119?authuser=0&hl=ru&rclk=1","https://www.google.com/maps/place/%D0%9E%D0%A5%D0%A0%D0%90%D0%9D%D0%90,+%D1%87%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D0%B5+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/@56.6466414,47.8859232,17z/data=!4m7!3m6!1s0x4159eb2694f0110b:0xd21ed487929790e!8m2!3d56.6466719!4d47.8881318!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4709053436332609803!2y946298292250704142!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sRQp7YZqcE8XIrgTpgKkg!7e81
YO-OLA,ГРУППА ФАРБ,"Адрес: 424000, 424020, ул. Машиностроителей, 16А, Йошкар-Ола, Респ. Марий Эл, 424002 ",Сайт: farbm.ru ,Телефон: 8 (836) 240-54-05 ,44,https://www.google.com/maps/place/%D0%93%D0%A0%D0%A3%D0%9F%D0%9F%D0%90+%D0%A4%D0%90%D0%A0%D0%91/data=!4m5!3m4!1s0x4159eb3155555555:0x9f0e4b6f249f2af3!8m2!3d56.6427104!4d47.871395?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D0%A0%D0%A3%D0%9F%D0%9F%D0%90+%D0%A4%D0%90%D0%A0%D0%91/@56.6427104,47.8692063,17z/data=!4m7!3m6!1s0x4159eb3155555555:0x9f0e4b6f249f2af3!8m2!3d56.642721!4d47.8713401!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4709053482510144853!2y11461181042432355059!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sawp7YYOHJIqorgTS7Ico!7e81
YO-OLA,Гранит,"Адрес: ул. Кирова, 4А, Йошкар-Ола, Респ. Марий Эл, 424038 ",Сайт: gk-granit.ru ,Телефон: 8 (836) 249-58-58 ,11,https://www.google.com/maps/place/%D0%93%D1%80%D0%B0%D0%BD%D0%B8%D1%82/data=!4m5!3m4!1s0x415994d913a81e07:0xdd61938a0782b95e!8m2!3d56.6270022!4d47.9284575?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%93%D1%80%D0%B0%D0%BD%D0%B8%D1%82/@56.6270022,47.9262688,17z/data=!4m7!3m6!1s0x415994d913a81e07:0xdd61938a0782b95e!8m2!3d56.6269944!4d47.928495!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4708958545451163143!2y15952193576163785054!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sjgp7YYmNHuHFrgSh_IOgAQ!7e81
YO-OLA,ЧОП Секьюрити-Профи,"Адрес: ул. Свердлова, 46, Йошкар-Ола, Респ. Марий Эл, 424000 ",Сайт: s-profy.ru ,Телефон: 8 (836) 272-86-22 ,4,https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9F+%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8-%D0%9F%D1%80%D0%BE%D1%84%D0%B8/data=!4m5!3m4!1s0x4159eb3c2ae701e5:0xb89ce15e0217bfbe!8m2!3d56.642596!4d47.8649969?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%A7%D0%9E%D0%9F+%D0%A1%D0%B5%D0%BA%D1%8C%D1%8E%D1%80%D0%B8%D1%82%D0%B8-%D0%9F%D1%80%D0%BE%D1%84%D0%B8/@56.642596,47.8628082,17z/data=!4m7!3m6!1s0x4159eb3c2ae701e5:0xb89ce15e0217bfbe!8m2!3d56.642596!4d47.8649969!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4709053529042911717!2y13302755193223888830!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sqAp7YaWJJpaWrwSdmIbQDA!7e81
YO-OLA,Барс,"Адрес: Первомайская ул., 100, Йошкар-Ола, Респ. Марий Эл, 424000 ",Сайт: vk.com ,Телефон: 8 (836) 242-86-76 ,4,https://www.google.com/maps/place/%D0%91%D0%B0%D1%80%D1%81/data=!4m5!3m4!1s0x4159eb25f16bbea5:0xa4ebdc6ac622e1da!8m2!3d56.642938!4d47.889783?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%91%D0%B0%D1%80%D1%81/@56.642938,47.8875943,17z/data=!4m7!3m6!1s0x4159eb25f16bbea5:0xa4ebdc6ac622e1da!8m2!3d56.6429227!4d47.8898596!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4709053433589251749!2y11883834392896004570!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sxAp7YbWIF9HIrgS9i5CoBw!7e81
YO-OLA,Охранное Агентство,"Адрес: ул. Машиностроителей, 16а, Йошкар-Ола, Респ. Марий Эл, 424020 ",Не указан,Не указан,0,https://www.google.com/maps/place/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%90%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE/data=!4m5!3m4!1s0x4159eb3c7d3c01f3:0x488890ab9d3d2d63!8m2!3d56.6427104!4d47.871395?authuser=0&hl=ru&rclk=1,False,False
YO-OLA,"Вымпел, охранное предприятие","Адрес: ул. Петрова, 21, Йошкар-Ола, Респ. Марий Эл, 424033 ",Сайт: ohrana-vimpel.ru ,Телефон: 8 (836) 221-32-06 ,0,"https://www.google.com/maps/place/%D0%92%D1%8B%D0%BC%D0%BF%D0%B5%D0%BB,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%BF%D1%80%D0%B5%D0%B4%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5/data=!4m5!3m4!1s0x4159eb3155555555:0x29fd38b3c82d085b!8m2!3d56.637173!4d47.9208799?authuser=0&hl=ru&rclk=1",False,False
YO-OLA,"ЛИГА, охранное агентство","Адрес: Ленинский пр., 21, Йошкар-Ола, 424006 ",Сайт: liga12.com ,Телефон: 8 (836) 241-37-40 ,0,"https://www.google.com/maps/place/%D0%9B%D0%98%D0%93%D0%90,+%D0%BE%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%BE%D0%B5+%D0%B0%D0%B3%D0%B5%D0%BD%D1%82%D1%81%D1%82%D0%B2%D0%BE/data=!4m5!3m4!1s0x4159eb34193f618d:0x61b9edf173c97c52!8m2!3d56.630164!4d47.890542?authuser=0&hl=ru&rclk=1",False,False
YO-OLA,Кобальт,"Адрес: ул. Машиностроителей, 61, Йошкар-Ола, Респ. Марий Эл, 424003 ",Не указан,Телефон: 8 (836) 272-07-21 ,1,https://www.google.com/maps/place/%D0%9A%D0%BE%D0%B1%D0%B0%D0%BB%D1%8C%D1%82/data=!4m5!3m4!1s0x4159eb390692b129:0xfa597514f7bf8a38!8m2!3d56.637866!4d47.868221?authuser=0&hl=ru&rclk=1,"https://www.google.com/maps/place/%D0%9A%D0%BE%D0%B1%D0%B0%D0%BB%D1%8C%D1%82/@56.637866,47.8660323,17z/data=!4m7!3m6!1s0x4159eb390692b129:0xfa597514f7bf8a38!8m2!3d56.6377172!4d47.8684413!9m1!1b1?authuser=0&hl=ru",https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=ru&gl=ru&authuser=0&pb=!1m2!1y4709053515548504361!2y18039578515325553208!2m2!1i0!2i10!3e1!4m5!3b1!4b1!5b1!6b1!7b1!5m2!1sBAt7YfqOJoSwrgTm4ovoBQ!7e81
YO-OLA,"Триада, Чоп","Адрес: 114 б, ул. Палантая, г. Йошкар-Ола, Республика Марий Эл, Россия 424000, Йошкар-Ола, Респ. Марий Эл, 424008 ",Сайт: triada12.ru ,Телефон: 8 (836) 225-52-26 ,0,"https://www.google.com/maps/place/%D0%A2%D1%80%D0%B8%D0%B0%D0%B4%D0%B0,+%D0%A7%D0%BE%D0%BF/data=!4m5!3m4!1s0x4159eb3155555555:0x86a4050b1c850fc3!8m2!3d56.6283618!4d47.884632?authuser=0&hl=ru&rclk=1",False,False
